count,arrest,year,community_area,primary_type
42,42,2015,68,19
54,7,2016,25,10
40,30,2014,1,15
2,0,2010,8,09
2,1,2013,59,01A
1,1,2007,38,12
236,49,2010,73,08A
34,29,2014,58,15
1,1,2007,13,16
14,3,2011,27,17
144,127,2012,43,15
156,3,2007,36,06
25,16,2009,2,15
18,8,2013,59,04A
2,1,2013,27,22
231,10,2011,35,14
1071,41,2008,53,14
241,241,2015,73,18
12,0,2010,35,20
161,142,2014,49,15
439,439,2015,46,18
7,7,2010,57,22
8,1,2014,50,17
5,0,2014,19,01A
46,4,2009,17,03
28,5,2008,12,08A
17,17,2009,66,22
6,5,2010,64,15
1,1,2016,16,22
697,85,2016,25,04B
209,75,2008,31,08A
8,1,2014,24,09
198,11,2009,77,11
1,0,2013,35,12
71,9,2015,75,07
189,61,2008,61,04A
131,6,2007,48,03
19,0,2007,9,11
222,37,2010,37,06
149,7,2012,70,07
23,23,2011,19,22
332,72,2016,21,08B
1,1,2015,17,16
33,6,2013,19,17
16,2,2013,50,04A
2,2,2016,70,22
969,61,2011,66,05
163,24,2008,77,03
46,32,2010,27,24
2,2,2010,11,15
2,2,2011,76,16
5,2,2014,59,17
16,15,2013,57,24
15,8,2008,61,01A
52,11,2012,62,08A
3,2,2008,54,19
1,0,2014,9,24
42,3,2014,47,14
344,344,2014,19,18
35,8,2012,77,04A
21,7,2008,31,17
401,30,2014,48,06
12,3,2015,46,01A
26,4,2012,57,04B
63,60,2011,46,24
38,10,2015,33,04B
1,1,2008,36,19
7,0,2015,10,10
35,30,2011,73,24
42,33,2012,63,15
238,46,2013,19,08A
9,2,2015,73,01A
1393,78,2012,29,06
43,8,2013,23,20
10,0,2007,31,09
7,1,2010,7,20
219,25,2012,61,03
559,33,2011,7,14
76,20,2015,73,04A
82,80,2013,59,18
299,32,2008,4,26
41,10,2014,59,08A
5,2,2012,77,01A
131,49,2009,59,26
127,51,2015,46,04A
7,2,2012,62,17
137,120,2012,53,15
1,0,2016,47,09
574,27,2016,42,06
1,1,2014,17,16
8,5,2010,57,24
17,16,2016,16,24
1708,101,2008,43,14
18,4,2007,38,20
111,103,2009,66,24
1,1,2010,62,19
25,6,2010,50,04A
76,8,2014,75,07
131,14,2009,68,11
1,1,2011,9,04A
359,11,2016,69,05
8,3,2007,55,20
10,0,2015,24,09
262,59,2007,10,26
95,79,2013,27,24
7,5,2013,11,15
54,4,2015,47,14
15,7,2008,13,24
4,1,2015,9,24
203,38,2013,37,06
269,15,2007,39,14
14,1,2016,17,20
8,1,2011,62,10
4,4,2015,59,17
28,9,2010,19,17
650,49,2008,68,03
1034,40,2016,24,14
5523,825,2012,8,06
6,2,2014,73,01A
374,27,2012,40,14
29,29,2016,5,18
1588,169,2008,66,06
6,1,2007,17,02
8,1,2014,10,10
26,7,2014,33,04B
4,0,2013,7,20
26,4,2009,44,20
165,39,2009,62,08B
284,20,2015,48,06
14,8,2014,46,01A
178,51,2012,68,04A
145,145,2010,59,18
362,361,2015,19,18
16,6,2012,68,01A
687,36,2009,46,05
219,34,2012,27,04B
131,47,2014,46,04A
363,31,2009,13,06
981,85,2011,23,14
79,13,2008,6,04B
298,82,2010,19,08A
71,68,2012,65,18
49,7,2015,59,08A
61,11,2010,23,20
21,1,2016,38,02
69,19,2014,73,04A
2,0,2016,55,02
425,26,2009,73,05
1,0,2016,58,01B
1,0,2009,6,09
104,9,2008,65,03
37,7,2011,57,08A
2,0,2013,23,12
7,0,2015,13,02
9,6,2015,60,15
98,4,2013,74,14
833,90,2009,30,14
31,5,2014,33,10
56,56,2010,50,18
5,5,2011,9,18
8,3,2014,10,04B
2,2,2011,73,22
182,40,2007,57,08B
71,8,2009,65,11
73,21,2015,50,08A
13,2,2013,73,17
196,10,2007,18,14
2,0,2010,7,12
26,3,2013,46,17
10,3,2009,48,02
658,34,2008,63,14
15,4,2012,27,10
11,1,2012,20,20
27,0,2015,36,03
16,16,2011,46,22
19,3,2010,29,09
150,5,2013,41,14
633,48,2013,25,07
58,4,2008,6,10
5,5,2013,57,22
40,30,2015,58,15
29,21,2015,1,15
14,14,2014,68,19
5,1,2011,57,17
17,7,2016,5,04A
1086,918,2007,33,26
125,125,2011,8,16
4,4,2013,64,15
1,1,2015,77,19
108,33,2015,19,04A
6,1,2015,52,09
265,6,2007,72,14
16,13,2016,70,24
1000,995,2012,68,18
16,4,2010,59,04A
6,6,2010,27,22
1,1,2012,65,01A
8,1,2013,35,20
42,2,2015,54,03
80,75,2011,19,24
23,6,2012,65,04A
10,10,2012,73,19
1,0,2013,8,09
9,3,2015,19,01A
194,49,2013,73,08A
5,4,2010,59,01A
3,1,2015,50,17
128,12,2011,32,07
646,646,2014,46,18
5,5,2012,46,19
223,9,2016,52,14
157,135,2015,49,15
1,0,2012,37,09
283,283,2014,73,18
336,68,2013,46,08A
45,45,2007,66,19
395,94,2016,51,06
15,4,2011,62,04B
864,289,2011,6,08B
4,1,2010,28,12
179,9,2007,14,07
135,96,2007,23,15
9,2,2012,37,10
7,1,2010,76,04B
62,5,2014,41,07
4,4,2007,13,19
89,9,2013,8,10
1422,125,2014,25,14
112,112,2015,68,16
20,4,2010,4,04A
346,57,2016,29,07
218,81,2007,6,08A
48,8,2015,12,26
10,1,2016,47,04B
7,7,2012,29,22
8,0,2015,52,10
9,2,2016,77,20
107,11,2015,24,04B
7,7,2014,48,22
2,1,2011,6,13
20,1,2015,54,11
19,1,2014,74,07
17,15,2011,39,15
3,1,2008,6,09
17,1,2010,29,10
7,0,2012,27,09
1,0,2009,9,02
121,16,2009,65,03
38,1,2015,36,11
14,0,2007,77,02
49,12,2012,12,08B
559,32,2016,70,06
1,1,2011,75,12
918,117,2008,30,14
1196,170,2011,19,06
185,5,2010,31,05
71,71,2011,29,19
64,30,2007,6,17
108,108,2011,48,18
173,26,2007,3,07
608,232,2010,61,26
1,1,2014,33,09
45,8,2015,66,02
5,1,2015,32,20
56,42,2010,38,15
96,8,2008,65,11
669,81,2009,63,14
8,1,2008,48,02
18,14,2016,51,24
49,7,2009,6,10
8,6,2010,55,15
101,13,2016,76,07
48,42,2016,42,24
296,33,2010,57,06
652,27,2016,16,06
1554,190,2009,66,06
76,75,2012,19,16
377,68,2010,29,04B
201,38,2008,62,08B
1,1,2007,36,22
41,8,2008,44,20
418,90,2013,54,08B
156,156,2010,4,18
1,0,2012,31,13
101,2,2010,12,05
1,0,2007,11,12
786,46,2013,27,06
76,18,2015,4,08A
447,34,2008,13,06
8,0,2014,32,12
45,2,2015,9,06
12,11,2013,37,24
24,1,2010,47,07
169,15,2012,34,14
625,26,2008,46,05
445,122,2012,31,08B
63,18,2009,6,04B
5,2,2011,72,15
1,1,2012,76,22
1,0,2014,10,09
257,14,2013,75,14
72,64,2012,8,24
407,30,2008,73,05
101,34,2013,8,04B
6,5,2011,18,15
544,22,2012,2,14
98,75,2008,66,24
1421,79,2009,43,14
1,0,2013,36,13
211,73,2015,31,26
2,0,2011,48,01A
139,21,2008,68,11
1,0,2011,62,09
256,18,2015,61,05
4,4,2015,17,19
16,16,2015,48,24
322,36,2007,8,05
27,2,2012,37,04B
6,2,2010,76,10
31,2,2015,24,10
20,1,2013,28,20
4,4,2009,13,24
12,2,2015,4,17
37,14,2011,48,04A
892,157,2016,26,08B
573,42,2009,68,03
1,0,2016,68,12
31,4,2015,52,04B
2,1,2007,54,22
127,28,2013,36,08B
134,22,2012,61,11
20,12,2009,31,17
339,17,2010,75,14
194,6,2016,10,14
7,3,2011,75,20
2,2,2016,51,22
32,28,2007,35,15
26,4,2016,65,20
3,3,2009,36,19
22,0,2013,47,07
10,8,2010,37,24
35,7,2007,31,10
4,0,2007,64,20
321,71,2013,29,04B
58,58,2013,4,18
346,55,2010,54,08B
76,3,2013,12,05
1,0,2015,10,09
931,344,2007,24,26
909,57,2010,27,06
125,7,2016,14,05
4,3,2007,12,04B
130,18,2016,39,26
66,59,2012,30,15
260,71,2009,4,26
358,23,2013,57,06
4,1,2012,5,20
403,42,2007,29,05
85,3,2012,51,07
56,8,2014,9,06
5,0,2015,32,12
147,35,2008,59,26
73,18,2014,4,08A
9,9,2014,65,16
135,10,2016,3,05
34,5,2016,20,04A
198,45,2009,31,08A
19,14,2014,48,24
260,23,2014,61,05
197,85,2009,61,04A
143,4,2011,13,05
1051,87,2011,46,06
247,95,2014,31,26
169,10,2008,77,11
160,34,2010,36,08B
857,58,2011,28,14
72,72,2012,17,18
19,3,2010,28,20
758,52,2011,73,06
106,92,2012,29,24
2,0,2016,77,12
30,7,2014,52,04B
79,5,2007,48,11
5,1,2013,76,10
112,15,2009,77,03
15,4,2007,65,02
11,5,2009,61,01A
167,39,2010,8,04B
2,0,2007,9,03
22,7,2014,4,17
33,1,2014,24,10
4,0,2016,64,02
6,6,2009,54,19
6,3,2016,20,01A
6,6,2011,8,19
17,4,2016,22,17
14,10,2007,7,15
76,76,2014,68,16
39,1,2012,36,05
1,1,2007,54,24
1542,118,2015,25,14
10,10,2007,37,13
609,28,2008,19,05
87,8,2015,41,07
2,2,2013,4,01A
5,5,2009,13,22
102,12,2009,17,11
1428,312,2016,71,08B
55,14,2011,37,08A
34,16,2008,2,15
11,2,2015,74,07
21,3,2007,76,05
72,12,2010,8,10
31,1,2014,54,11
44,7,2016,68,20
30,11,2013,4,04A
45,7,2016,25,09
918,30,2009,53,14
1,1,2015,48,22
121,26,2014,24,04B
3,0,2016,11,02
4,1,2014,52,10
58,5,2008,17,03
44,10,2014,12,26
49,48,2007,66,16
2,0,2013,28,12
266,57,2007,37,08B
18,18,2012,46,16
70,14,2016,18,26
33,33,2008,66,22
87,15,2016,45,08A
16,4,2009,12,08A
9,1,2013,76,04B
5,3,2012,76,24
144,13,2012,42,07
112,15,2016,72,26
3,1,2008,44,12
179,35,2016,22,08A
1145,1143,2009,61,18
36,35,2012,8,22
60,60,2016,20,18
111,28,2007,31,04B
6,4,2013,55,15
81,18,2007,68,02
13,8,2008,34,15
5,1,2007,11,20
30,1,2014,36,11
1,1,2013,37,22
155,16,2013,31,05
503,223,2013,61,26
3,1,2011,37,17
23,2,2012,17,04A
169,13,2016,33,14
45,35,2013,38,15
6,6,2016,32,16
2,0,2012,57,09
1,1,2012,17,01A
225,43,2007,52,26
4,4,2007,36,24
7,0,2007,12,10
313,8,2016,44,11
63,53,2009,40,15
80,2,2012,54,05
6,2,2014,32,20
29,2,2013,29,10
55,11,2014,66,02
1,0,2015,33,09
3,0,2016,45,17
2,0,2009,12,17
214,49,2008,50,26
296,43,2016,8,07
550,44,2009,67,03
551,25,2015,71,05
21,21,2011,7,22
37,5,2007,55,08A
4,3,2013,74,24
2506,477,2014,25,06
153,150,2009,30,24
130,40,2016,54,26
17,3,2009,44,17
23,8,2013,7,17
1,0,2010,46,12
44,44,2011,47,18
2,0,2013,2,09
225,24,2008,5,08B
311,66,2007,38,08A
46,0,2014,18,11
2,2,2012,22,01A
89,13,2007,44,10
53,1,2016,12,11
63,5,2009,45,11
387,81,2010,39,08B
78,10,2013,14,11
155,37,2015,42,04B
6,1,2008,47,02
113,18,2012,72,05
166,20,2008,67,11
102,24,2011,55,08B
57,49,2008,63,24
75,31,2012,22,04A
3,3,2011,2,16
8,7,2013,41,24
815,185,2011,38,08B
93,9,2016,17,08A
50,6,2015,43,02
10,2,2015,51,10
1,0,2008,12,12
31,10,2010,23,17
162,9,2008,45,03
1,1,2007,18,24
143,4,2011,4,07
2,0,2008,5,13
289,37,2008,22,03
11,10,2009,39,19
1,1,2016,4,19
40,5,2016,48,04B
5,3,2007,55,17
386,17,2016,70,14
1577,1576,2015,23,18
9,5,2007,72,24
515,170,2014,44,26
3,3,2011,34,16
1,0,2011,5,09
19,3,2009,38,10
1,1,2012,7,19
96,13,2013,7,08A
389,79,2009,44,08A
1015,78,2007,25,03
1068,102,2008,30,06
36,7,2012,45,04A
24,1,2012,41,04B
58,58,2014,7,18
47,12,2014,35,04A
20,4,2007,38,17
101,8,2009,35,05
102,0,2012,18,05
6,1,2009,55,10
10,6,2010,6,15
221,21,2009,22,11
1,0,2013,34,09
16,12,2016,52,24
75,6,2016,36,26
106,81,2009,29,15
666,74,2009,63,06
1402,1387,2009,26,18
6,0,2015,70,09
2,1,2008,55,09
84,4,2014,72,11
1,1,2013,5,16
3,3,2014,35,01A
863,63,2011,19,14
273,89,2013,3,11
5,3,2015,59,20
490,108,2010,23,08A
10,3,2016,17,17
4,1,2008,38,09
515,261,2013,26,26
43,16,2010,19,20
8,2,2012,74,04B
3,1,2009,,04A
7,0,2012,75,09
7,0,2013,40,10
471,25,2010,69,03
18,1,2012,41,10
8,0,2011,47,04A
121,99,2007,53,16
11,5,2013,35,17
9,2,2009,55,04B
17,5,2015,63,02
470,35,2013,27,14
2,2,2011,35,22
5,4,2008,53,22
3,0,2011,57,20
144,40,2010,18,08B
1,0,2013,19,12
13,0,2016,48,10
213,18,2010,57,14
80,73,2008,43,24
103,5,2014,39,11
413,20,2016,16,14
182,22,2009,38,04B
33,2,2014,37,07
1388,92,2009,66,14
430,331,2012,26,11
429,175,2012,3,26
323,322,2012,22,18
634,94,2013,75,06
98,22,2012,20,08A
109,28,2013,40,04B
22,19,2016,24,24
418,39,2008,28,05
