count,year,community_area,primary_type
340,2007,2,05
1266,2007,2,06
182,2007,2,07
206,2007,2,08A
752,2007,2,08B
8,2007,2,09
33,2007,2,10
160,2007,2,11
3,2007,2,13
977,2007,2,14
21,2007,2,15
23,2007,2,16
33,2007,2,17
363,2007,2,18
5,2007,2,19
22,2007,2,20
15,2007,2,22
26,2007,2,24
585,2007,2,26
21,2008,2,02
166,2008,2,03
51,2008,2,04A
70,2008,2,04B
363,2008,2,05
1343,2008,2,06
223,2008,2,07
267,2008,2,08A
773,2008,2,08B
8,2008,2,09
55,2008,2,10
174,2008,2,11
1,2008,2,12
3,2008,2,13
892,2008,2,14
34,2008,2,15
16,2008,2,16
26,2008,2,17
357,2008,2,18
9,2008,2,19
30,2008,2,20
12,2008,2,22
22,2008,2,24
554,2008,2,26
2,2009,2,01A
24,2009,2,02
166,2009,2,03
59,2009,2,04A
79,2009,2,04B
417,2009,2,05
1235,2009,2,06
221,2009,2,07
202,2009,2,08A
726,2009,2,08B
9,2009,2,09
36,2009,2,10
178,2009,2,11
2,2009,2,12
1,2009,2,13
779,2009,2,14
25,2009,2,15
9,2009,2,16
28,2009,2,17
386,2009,2,18
5,2009,2,19
19,2009,2,20
8,2009,2,22
28,2009,2,24
584,2009,2,26
1,2010,2,01A
25,2010,2,02
186,2010,2,03
63,2010,2,04A
87,2010,2,04B
446,2010,2,05
1118,2010,2,06
258,2010,2,07
210,2010,2,08A
646,2010,2,08B
10,2010,2,09
32,2010,2,10
120,2010,2,11
4,2010,2,13
761,2010,2,14
26,2010,2,15
6,2010,2,16
23,2010,2,17
321,2010,2,18
19,2010,2,20
12,2010,2,22
41,2010,2,24
466,2010,2,26
22,2011,2,02
140,2011,2,03
42,2011,2,04A
69,2011,2,04B
433,2011,2,05
1045,2011,2,06
236,2011,2,07
163,2011,2,08A
617,2011,2,08B
9,2011,2,09
25,2011,2,10
164,2011,2,11
2,2011,2,12
1,2011,2,13
626,2011,2,14
33,2011,2,15
3,2011,2,16
27,2011,2,17
271,2011,2,18
19,2011,2,20
11,2011,2,22
34,2011,2,24
429,2011,2,26
6,2012,2,01A
18,2012,2,02
142,2012,2,03
41,2012,2,04A
49,2012,2,04B
348,2012,2,05
978,2012,2,06
201,2012,2,07
218,2012,2,08A
609,2012,2,08B
4,2012,2,09
11,2012,2,10
156,2012,2,11
3,2012,2,12
1,2012,2,13
544,2012,2,14
18,2012,2,15
13,2012,2,16
16,2012,2,17
225,2012,2,18
3,2012,2,19
21,2012,2,20
7,2012,2,22
36,2012,2,24
361,2012,2,26
1,2013,2,01A
10,2013,2,02
151,2013,2,03
39,2013,2,04A
37,2013,2,04B
260,2013,2,05
992,2013,2,06
135,2013,2,07
190,2013,2,08A
633,2013,2,08B
2,2013,2,09
24,2013,2,10
147,2013,2,11
2,2013,2,13
494,2013,2,14
28,2013,2,15
1,2013,2,16
14,2013,2,17
205,2013,2,18
18,2013,2,20
5,2013,2,22
31,2013,2,24
384,2013,2,26
3,2014,2,01A
17,2014,2,02
113,2014,2,03
44,2014,2,04A
35,2014,2,04B
277,2014,2,05
808,2014,2,06
137,2014,2,07
162,2014,2,08A
559,2014,2,08B
1,2014,2,09
11,2014,2,10
193,2014,2,11
440,2014,2,14
26,2014,2,15
3,2014,2,16
14,2014,2,17
174,2014,2,18
1,2014,2,19
13,2014,2,20
5,2014,2,22
30,2014,2,24
