count,weekday,year,community_area,primary_type
103,1,2007,43,07
112,1,2007,43,08A
366,1,2007,43,08B
3,1,2007,43,09
23,1,2007,43,10
48,1,2007,43,11
1,1,2007,43,13
282,1,2007,43,14
25,1,2007,43,15
16,1,2007,43,16
3,1,2007,43,17
183,1,2007,43,18
9,1,2007,43,19
9,1,2007,43,20
3,1,2007,43,22
21,1,2007,43,24
211,1,2007,43,26
5,1,2007,44,02
81,1,2007,44,03
21,1,2007,44,04A
38,1,2007,44,04B
96,1,2007,44,05
244,1,2007,44,06
83,1,2007,44,07
57,1,2007,44,08A
202,1,2007,44,08B
1,1,2007,44,09
16,1,2007,44,10
55,1,2007,44,11
1,1,2007,44,12
1,1,2007,44,13
168,1,2007,44,14
16,1,2007,44,15
4,1,2007,44,16
3,1,2007,44,17
186,1,2007,44,18
2,1,2007,44,19
6,1,2007,44,20
2,1,2007,44,22
2,1,2007,44,24
126,1,2007,44,26
1,1,2007,45,02
24,1,2007,45,03
10,1,2007,45,04A
6,1,2007,45,04B
22,1,2007,45,05
73,1,2007,45,06
22,1,2007,45,07
23,1,2007,45,08A
54,1,2007,45,08B
4,1,2007,45,10
16,1,2007,45,11
39,1,2007,45,14
4,1,2007,45,15
1,1,2007,45,17
25,1,2007,45,18
1,1,2007,45,20
1,1,2007,45,24
26,1,2007,45,26
1,1,2007,46,01A
8,1,2007,46,02
65,1,2007,46,03
18,1,2007,46,04A
46,1,2007,46,04B
89,1,2007,46,05
214,1,2007,46,06
59,1,2007,46,07
70,1,2007,46,08A
201,1,2007,46,08B
1,1,2007,46,09
14,1,2007,46,10
34,1,2007,46,11
172,1,2007,46,14
10,1,2007,46,15
16,1,2007,46,16
1,1,2007,46,17
122,1,2007,46,18
1,1,2007,46,19
12,1,2007,46,20
1,1,2007,46,22
3,1,2007,46,24
124,1,2007,46,26
4,1,2007,47,03
3,1,2007,47,04A
2,1,2007,47,04B
9,1,2007,47,05
9,1,2007,47,06
8,1,2007,47,07
5,1,2007,47,08A
12,1,2007,47,08B
2,1,2007,47,11
18,1,2007,47,14
2,1,2007,47,15
9,1,2007,47,18
2,1,2007,47,20
2,1,2007,47,24
7,1,2007,47,26
2,1,2007,48,02
16,1,2007,48,03
2,1,2007,48,04A
7,1,2007,48,04B
26,1,2007,48,05
65,1,2007,48,06
23,1,2007,48,07
12,1,2007,48,08A
53,1,2007,48,08B
2,1,2007,48,10
11,1,2007,48,11
34,1,2007,48,14
1,1,2007,48,15
34,1,2007,48,18
1,1,2007,48,20
31,1,2007,48,26
4,1,2007,49,01A
17,1,2007,49,02
77,1,2007,49,03
35,1,2007,49,04A
65,1,2007,49,04B
111,1,2007,49,05
244,1,2007,49,06
73,1,2007,49,07
110,1,2007,49,08A
308,1,2007,49,08B
3,1,2007,49,09
7,1,2007,49,10
35,1,2007,49,11
232,1,2007,49,14
21,1,2007,49,15
5,1,2007,49,16
5,1,2007,49,17
284,1,2007,49,18
9,1,2007,49,19
7,1,2007,49,20
2,1,2007,49,22
10,1,2007,49,24
223,1,2007,49,26
1,1,2007,50,01A
1,1,2007,50,02
12,1,2007,50,03
6,1,2007,50,04A
13,1,2007,50,04B
10,1,2007,50,05
38,1,2007,50,06
12,1,2007,50,07
20,1,2007,50,08A
59,1,2007,50,08B
1,1,2007,50,10
4,1,2007,50,11
48,1,2007,50,14
2,1,2007,50,15
19,1,2007,50,18
2,1,2007,50,19
3,1,2007,50,20
1,1,2007,50,22
32,1,2007,50,26
1,1,2007,51,01A
3,1,2007,51,02
10,1,2007,51,03
10,1,2007,51,04A
14,1,2007,51,04B
25,1,2007,51,05
56,1,2007,51,06
11,1,2007,51,07
33,1,2007,51,08A
77,1,2007,51,08B
1,1,2007,51,09
2,1,2007,51,10
16,1,2007,51,11
63,1,2007,51,14
7,1,2007,51,15
2,1,2007,51,17
23,1,2007,51,18
3,1,2007,51,19
1,1,2007,51,20
1,1,2007,51,22
3,1,2007,51,24
55,1,2007,51,26
3,1,2007,52,03
8,1,2007,52,04A
5,1,2007,52,04B
31,1,2007,52,05
54,1,2007,52,06
13,1,2007,52,07
18,1,2007,52,08A
42,1,2007,52,08B
4,1,2007,52,10
4,1,2007,52,11
81,1,2007,52,14
7,1,2007,52,15
4,1,2007,52,17
20,1,2007,52,18
5,1,2007,52,20
1,1,2007,52,22
2,1,2007,52,24
30,1,2007,52,26
1,1,2007,53,01A
3,1,2007,53,02
33,1,2007,53,03
20,1,2007,53,04A
31,1,2007,53,04B
75,1,2007,53,05
118,1,2007,53,06
53,1,2007,53,07
53,1,2007,53,08A
202,1,2007,53,08B
2,1,2007,53,09
